,query,symbol
461,ENSG00000154133,ROBO4
462,ENSG00000154134,ROBO3
463,ENSG00000154734,ADAMTS1
464,ENSG00000155850,SLC26A2
465,ENSG00000155906,RMND1
466,ENSG00000156804,FBXO32
467,ENSG00000157227,MMP14
468,ENSG00000157303,SUSD3
469,ENSG00000157734,SNX22
470,ENSG00000158186,MRAS
471,ENSG00000158517,NCF1
472,ENSG00000158555,GDPD5
473,ENSG00000159167,STC1
474,ENSG00000159176,CSRP1
475,ENSG00000159388,BTG2
476,ENSG00000159403,C1R
477,ENSG00000159674,SPON2
478,ENSG00000159713,TPPP3
479,ENSG00000160161,CILP2
480,ENSG00000160180,TFF3
481,ENSG00000160211,G6PD
482,ENSG00000160326,SLC2A6
483,ENSG00000160401,CFAP157
484,ENSG00000160593,JAML
485,ENSG00000160613,PCSK7
486,ENSG00000160862,AZGP1
487,ENSG00000160867,FGFR4
488,ENSG00000160888,IER2
489,ENSG00000160932,LY6E
490,ENSG00000161281,COX7A1
491,ENSG00000161395,PGAP3
492,ENSG00000161835,TAMALIN
493,ENSG00000162458,FBLIM1
494,ENSG00000162493,PDPN
495,ENSG00000162496,DHRS3
496,ENSG00000162511,LAPTM5
497,ENSG00000162551,ALPL
498,ENSG00000162572,SCNN1D
499,ENSG00000162576,MXRA8
500,ENSG00000162591,MEGF6
501,ENSG00000162772,ATF3
502,ENSG00000162878,PKDCC
503,ENSG00000163017,ACTG2
504,ENSG00000163154,TNFAIP8L2
505,ENSG00000163191,S100A11
506,ENSG00000163220,S100A9
507,ENSG00000163399,ATP1A1
508,ENSG00000163431,LMOD1
509,ENSG00000163435,ELF3
510,ENSG00000163453,IGFBP7
511,ENSG00000163485,ADORA1
512,ENSG00000163520,FBLN2
513,ENSG00000163565,IFI16
514,ENSG00000163644,PPM1K
515,ENSG00000163975,MELTF
516,ENSG00000163993,S100P
517,ENSG00000164403,SHROOM1
518,ENSG00000164404,GDF9
519,ENSG00000164405,UQCRQ
520,ENSG00000164442,CITED2
521,ENSG00000164692,COL1A2
522,ENSG00000164694,FNDC1
523,ENSG00000164764,SBSPON
524,ENSG00000164919,COX6C
525,ENSG00000165215,CLDN3
526,ENSG00000165238,WNK2
527,ENSG00000165424,ZCCHC24
528,ENSG00000165457,FOLR2
529,ENSG00000165507,DEPP1
530,ENSG00000165633,VSTM4
531,ENSG00000165795,NDRG2
532,ENSG00000165886,UBTD1
533,ENSG00000165949,IFI27
534,ENSG00000166033,HTRA1
535,ENSG00000166289,PLEKHF1
536,ENSG00000166428,PLD4
537,ENSG00000166482,MFAP4
538,ENSG00000166710,B2M
539,ENSG00000166741,NNMT
540,ENSG00000166780,BMERB1
541,ENSG00000166825,ANPEP
542,ENSG00000166920,COXFA4L3
543,ENSG00000167107,ACSF2
544,ENSG00000167157,PRRX2
545,ENSG00000167244,IGF2
546,ENSG00000167286,CD3D
547,ENSG00000167549,CORO6
548,ENSG00000167614,TTYH1
549,ENSG00000167617,CDC42EP5
550,ENSG00000167641,PPP1R14A
551,ENSG00000167676,PLIN4
